14233 | MH MIGRAÑA Y OTRAS CEFALEAS W/MCC
14241 | MH TRAUMATISMO CEFÁLICO
14242 | MH TRAUMATISMO CEFÁLICO W/CC
14243 | MH TRAUMATISMO CEFÁLICO W/MCC
14251 | MH CONMOCIÓN CEREBRAL
14252 | MH CONMOCIÓN CEREBRAL W/CC
14253 | MH CONMOCIÓN CEREBRAL W/MCC
14261 | MH OTRAS ENFERMEDADES DEL SISTEMA NERVIOSO
14262 | MH OTRAS ENFERMEDADES DEL SISTEMA NERVIOSO W/CC
14263 | MH OTRAS ENFERMEDADES DEL SISTEMA NERVIOSO W/MCC
21201 | PH PROCEDIMIENTOS SOBRE ÓRBITA Y EXTRAOCULARES
21202 | PH PROCEDIMIENTOS SOBRE ÓRBITA Y EXTRAOCULARES W/CC
21203 | PH PROCEDIMIENTOS SOBRE ÓRBITA Y EXTRAOCULARES W/MCC
21301 | PH PROCEDIMIENTOS INTRAOCULARES Y SOBRE CRISTALINO
21302 | PH PROCEDIMIENTOS INTRAOCULARES Y SOBRE CRISTALINO W/CC
21303 | PH PROCEDIMIENTOS INTRAOCULARES Y SOBRE CRISTALINO W/MCC
22210 | PA PROCEDIMIENTOS OCULARES EXTERNOS COMPLEJOS
22220 | PA PROCEDIMIENTOS OCULARES EXTERNOS MODERADAMENTE COMPLEJOS
22230 | PA PROCEDIMIENTOS OCULARES EXTERNOS NO COMPLEJOS
22310 | PA PROCEDIMIENTOS COMPLEJOS SOBRE CÁMARA ANTERIOR DEL OJO
22320 | PA PROCEDIMIENTOS MODERADAMENTE COMPLEJOS SOBRE CÁMARA ANTERIOR DEL OJO
22330 | PA PROCEDIMIENTOS NO COMPLEJOS SOBRE CÁMARA ANTERIOR DEL OJO
22340 | PA PROCEDIMIENTOS COMPLEJOS SOBRE CÁMARA POSTERIOR DEL OJO
22350 | PA PROCEDIMIENTOS NO COMPLEJOS SOBRE CÁMARA POSTERIOR DEL OJO
22360 | PA PROCEDIMIENTOS SOBRE CATARATAS
22370 | PA PROCEDIMIENTOS DE FOTOCOAGULACIÓN Y CRIOTERAPIA SOBRE RETINA
23100 | PA PROCEDIMIENTOS OCULARES CON LÁSER MODERADAMENTE COMPLEJOS
23110 | PA PROCEDIMIENTOS EXTRAOCULARES NO COMPLEJOS
23120 | PA OTROS PROCEDIMIENTOS OCULARES
23130 | PA PROCEDIMIENTOS OCULARES DIAGNÓSTICOS Y DE IMAGEN
24101 | MH INFECCIONES OCULARES MAYORES AGUDAS
24102 | MH INFECCIONES OCULARES MAYORES AGUDAS W/CC
24103 | MH INFECCIONES OCULARES MAYORES AGUDAS W/MCC
24111 | MH ENFERMEDADES OCULARES NEUROLÓGICAS
24112 | MH ENFERMEDADES OCULARES NEUROLÓGICAS W/CC
24113 | MH ENFERMEDADES OCULARES NEUROLÓGICAS W/MCC
24121 | MH OTRAS ENFERMEDADES OCULARES
24122 | MH OTRAS ENFERMEDADES OCULARES W/CC
24123 | MH OTRAS ENFERMEDADES OCULARES W/MCC
31101 | PH PROCEDIMIENTOS MAYORES SOBRE LARINGE
31102 | PH PROCEDIMIENTOS MAYORES SOBRE LARINGE W/CC
31103 | PH PROCEDIMIENTOS MAYORES SOBRE LARINGE W/MCC
31111 | PH OTROS PROCEDIMIENTOS SOBRE CABEZA Y CUELLO COMPLEJOS
31112 | PH OTROS PROCEDIMIENTOS SOBRE CABEZA Y CUELLO COMPLEJOS W/CC
31113 | PH OTROS PROCEDIMIENTOS SOBRE CABEZA Y CUELLO COMPLEJOS W/MCC
31121 | PH PROCEDIMIENTOS SOBRE SENOS Y MASTOIDES
31122 | PH PROCEDIMIENTOS SOBRE SENOS Y MASTOIDES W/CC
31123 | PH PROCEDIMIENTOS SOBRE SENOS Y MASTOIDES W/MCC
31131 | PH PROCEDIMIENTOS SOBRE GLÁNDULAS SALIVARES
31132 | PH PROCEDIMIENTOS SOBRE GLÁNDULAS SALIVARES W/CC
31133 | PH PROCEDIMIENTOS SOBRE GLÁNDULAS SALIVARES W/MCC
31141 | PH REPARACIÓN DE PALADAR Y LABIO HENDIDO
31142 | PH REPARACIÓN DE PALADAR Y LABIO HENDIDO  W/CC
31143 | PH REPARACIÓN DE PALADAR Y LABIO HENDIDO  W/MCC
31151 | PH PROCEDIMIENTOS SOBRE AMÍGDALAS Y ADENOIDES
31152 | PH PROCEDIMIENTOS SOBRE AMÍGDALAS Y ADENOIDES W/CC
31153 | PH PROCEDIMIENTOS SOBRE AMÍGDALAS Y ADENOIDES W/MCC
31201 | PH OTROS PROCEDIMIENTOS SOBRE OÍDO, NARIZ, BOCA Y GARGANTA
31202 | PH OTROS PROCEDIMIENTOS SOBRE OÍDO, NARIZ, BOCA Y GARGANTA W/CC
31203 | PH OTROS PROCEDIMIENTOS SOBRE OÍDO, NARIZ, BOCA Y GARGANTA W/MCC
31301 | PH PROCEDIMIENTOS SOBRE BOCA
31302 | PH PROCEDIMIENTOS SOBRE BOCA W/CC
31303 | PH PROCEDIMIENTOS SOBRE BOCA W/MCC
32100 | PA PROCEDIMIENTOS MAYORES SOBRE LARINGE
32110 | PA OTROS PROCEDIMIENTOS SOBRE CABEZA Y CUELLO COMPLEJOS
32120 | PA PROCEDIMIENTOS SOBRE SENOS Y MASTOIDES
32130 | PA PROCEDIMIENTOS SOBRE GLÁNDULAS SALIVARES
32140 | PA REPARACIÓN DE PALADAR Y LABIO LEPORINO
32150 | PA PROCEDIMIENTOS SOBRE AMÍGDALAS Y ADENOIDES
32210 | PA PROCEDIMIENTOS COMPLEJOS SOBRE OÍDO, NARIZ, BOCA Y GARGANTA
32220 | PA PROCEDIMIENTOS MODERADAMENTE COMPLEJOS SOBRE OÍDO, NARIZ, BOCA Y GARGANTA
32230 | PA RINOPLASTIA
32240 | PA PROCEDIMIENTOS MENORES SOBRE NARIZ
32250 | PA PROCEDIMIENTOS SOBRE OÍDO MEDIO
32310 | PA PROCEDIMIENTOS COMPLEJOS SOBRE BOCA Y LENGUA
32320 | PA PROCEDIMIENTOS NO COMPLEJOS SOBRE BOCA Y LENGUA
33100 | PA OTROS PROCEDIMIENTOS MODERADAMENTE COMPLEJOS SOBRE OÍDO, NARIZ, BOCA Y GARGANTA
33110 | PA OTROS PROCEDIMIENTOS SOBRE OÍDO, NARIZ, BOCA Y GARGANTA
33120 | PA TAPONAMIENTO Y CAUTERIZACIÓN NASAL
33130 | PA OTROS PROCEDIMIENTOS DIAGNÓSTICOS SOBRE OÍDO, NARIZ, BOCA Y GARGANTA
33140 | PA PRUEBAS FUNCIONALES SOBRE OÍDO, NARIZ, BOCA Y GARGANTA
33150 | PA OTROS PROCEDIMIENTOS NO COMPLEJOS SOBRE OÍDO, NARIZ, BOCA Y GARGANTA
33160 | PA PROCEDIMIENTOS DENTALES
34101 | MH NEOPLASIAS DE OÍDO, NARIZ, BOCA Y GARGANTA
34102 | MH NEOPLASIAS DE OÍDO, NARIZ, BOCA Y GARGANTA W/CC
34103 | MH NEOPLASIAS DE OÍDO, NARIZ, BOCA Y GARGANTA W/MCC
34111 | MH VÉRTIGO
34112 | MH VÉRTIGO W/CC
34113 | MH VÉRTIGO W/MCC
34121 | MH EPISTAXIS
34122 | MH EPISTAXIS W/CC
34123 | MH EPISTAXIS W/MCC
34131 | MH EPIGLOTITIS, OTITIS MEDIA, INFECCIONES TRACTO RESPIRATORIO SUPERIOR Y LARINGOTRAQUEITIS
34132 | MH EPIGLOTITIS, OTITIS MEDIA, INFECCIONES TRACTO RESPIRATORIO SUPERIOR Y LARINGOTRAQUEITIS W/CC
34133 | MH EPIGLOTITIS, OTITIS MEDIA, INFECCIONES TRACTO RESPIRATORIO SUPERIOR Y LARINGOTRAQUEITIS W/MCC
34141 | MH ENFERMEDADES ORALES Y DENTALES
34142 | MH ENFERMEDADES ORALES Y DENTALES W/CC
34143 | MH ENFERMEDADES ORALES Y DENTALES W/MCC
34151 | MH OTROS DIAGNÓSTICOS SOBRE OÍDO, NARIZ, BOCA Y GARGANTA
34152 | MH OTROS DIAGNÓSTICOS SOBRE OÍDO, NARIZ, BOCA Y GARGANTA W/CC
34153 | MH OTROS DIAGNÓSTICOS SOBRE OÍDO, NARIZ, BOCA Y GARGANTA W/MCC
41011 | PH ECMO VENTILACIÓN MECÁNICA PROLONGADA CON TRAQUEOSTOMÍA
